STA,DATE,YEAR,MONTH,MONTH#,NH4,ZscoreNH4,meanZ,CUSUM,mean NH4,wetdryave
17,8/15/2002,2002,AUGUST,8,1.33 ,-0.619159974,,,,
18,8/15/2002,2002,AUGUST,8,0.10 ,-0.892772127,-0.801568076,-20.58907565,0.512,2.465156863
1,9/17/2002,2002,SEPTEMBER,9,0.1 ,-0.892772127,,,,
17,9/17/2002,2002,SEPTEMBER,9,0.10 ,-0.892772127,,,,
18,9/17/2002,2002,SEPTEMBER,9,0.10 ,-0.892772127,-0.892772127,-21.48184778,0.103,
1,10/15/2002,2002,OCTOBER,10,0.1 ,-0.891211178,,,,
17,10/15/2002,2002,OCTOBER,10,0.10 ,-0.892772127,,,,
18,10/15/2002,2002,OCTOBER,10,0.15 ,-0.882291466,-0.888758257,-22.37060603,0.121,
1,11/15/2002,2002,NOVEMBER,11,4.5 ,0.083267315,,,,
17,11/15/2002,2002,NOVEMBER,11,0.10 ,-0.892772127,,,,
18,11/15/2002,2002,NOVEMBER,11,0.61 ,-0.779714783,-0.529739865,-22.9003459,1.731,
1,12/19/2002,2002,DECEMBER,12,1.4 ,-0.599090623,,,,
17,12/19/2002,2002,DECEMBER,12,0.93 ,-0.70835709,,,,
18,12/19/2002,2002,DECEMBER,12,0.10 ,-0.892772127,-0.733406613,-23.63375251,0.817666667,
1,1/14/2003,2003,JANUARY,1,0.10 ,-0.892772127,,,,
17,1/14/2003,2003,JANUARY,1,0.10 ,-0.892772127,,,,
18,1/14/2003,2003,JANUARY,1,0.10 ,-0.892772127,-0.892772127,-24.52652464,0.103,
1,2/13/2003,2003,FEBRUARY,2,0.83 ,-0.730656369,,,,
17,2/13/2003,2003,FEBRUARY,2,0.41 ,-0.824313341,,,,
18,2/13/2003,2003,FEBRUARY,2,0.10 ,-0.892772127,-0.815913946,-25.34243858,0.447666667,
1,3/10/2003,2003,MARCH,3,0.10 ,-0.892772127,,,,
17,3/10/2003,2003,MARCH,3,2.05 ,-0.458605165,,,,
18,3/10/2003,2003,MARCH,3,1.47 ,-0.587940983,-0.646439425,-25.98887801,1.207666667,
1,4/14/2003,2003,APRIL,4,1.10 ,-0.670448316,,,,
17,4/14/2003,2003,APRIL,4,1.01 ,-0.690517667,,,,
18,4/14/2003,2003,APRIL,4,0.40 ,-0.826543269,-0.72916975,-26.71804776,0.836666667,
1,5/12/2003,2003,MAY,5,0.10 ,-0.892772127,,,,
17,5/12/2003,2003,MAY,5,0.10 ,-0.892772127,,,,
18,5/12/2003,2003,MAY,5,2.02 ,-0.465294949,-0.750279734,-27.46832749,0.742,
1,6/20/2003,2003,JUNE,6,4.46 ,0.078807459,,,,
17,6/20/2003,2003,JUNE,6,1.28 ,-0.630309613,,,,
18,6/20/2003,2003,JUNE,6,1.53 ,-0.574561416,-0.375354523,-27.84368202,2.423333333,
1,7/15/2003,2003,JULY,7,2.47,-0.364948193,,,,
17,7/15/2003,2003,JULY,7,2.02,-0.465294949,,,,
18,7/15/2003,2003,JULY,7,1.09 ,-0.672678243,-0.500973795,-28.34465581,1.86,
1,8/12/2003,2003,AUGUST,8,4.63 ,0.116716234,,,,
17,8/12/2003,2003,AUGUST,8,0.38 ,-0.831003124,,,,
18,8/12/2003,2003,AUGUST,8,0.58 ,-0.786404566,-0.500230486,-28.8448863,1.863333333,
1,9/24/2003,2003,SEPTEMBER,9,18.2 ,3.142728396,,,,
17,9/24/2003,2003,SEPTEMBER,9,12.2 ,1.804771655,,,,
18,9/24/2003,2003,SEPTEMBER,9,8.61 ,1.004227539,1.983909197,-26.8609771,13.00333333,
1,10/14/2003,2003,OCTOBER,10,4.38,0.060968036,,,,
17,10/14/2003,2003,OCTOBER,10,1.26,-0.634769469,,,,
18,10/14/2003,2003,OCTOBER,10,3.14,-0.215543024,-0.263114819,-27.12409192,2.926666667,
1,11/18/2003,2003,NOVEMBER,11,2.7 ,-0.315889779,,,,
17,11/18/2003,2003,NOVEMBER,11,5.2 ,0.243822124,,,,
18,11/18/2003,2003,NOVEMBER,11,4.59 ,0.107796522,0.011909622,-27.1121823,4.16,
1,12/18/2003,2003,DECEMBER,12,12.5 ,1.871669492,,,,
17,12/18/2003,2003,DECEMBER,12,3.10 ,-0.224462735,,,,
18,12/18/2003,2003,DECEMBER,12,18.1 ,3.120429117,1.589211958,-25.52297034,11.23333333,
1,1/13/2004,2004,JANUARY,1,1.73 ,-0.529962858,,,,
17,1/13/2004,2004,JANUARY,1,0.84 ,-0.728426441,,,,
18,1/14/2004,2004,JANUARY,1,7.46 ,0.74778583,-0.170201156,-25.6931715,3.343333333,
1,2/10/2004,2004,FEBRUARY,2,4.98 ,0.19476371,,,,
17,2/10/2004,2004,FEBRUARY,2,1.9 ,-0.492054083,,,,
18,2/10/2004,2004,FEBRUARY,2,5.4 ,0.288420682,-0.002956564,-25.69612806,4.093333333,
1,3/17/2004,2004,MARCH,3,3.71,-0.088437133,,,,
17,3/17/2004,2004,MARCH,3,4.48,0.083267315,,,,
18,3/17/2004,2004,MARCH,3,1.53,-0.574561416,-0.193243745,-25.8893718,3.24,
1,4/17/2004,2004,APRIL,4,1.77,-0.521043146,,,,
17,4/17/2004,2004,APRIL,4,3.32,-0.175404321,,,,
18,4/17/2004,2004,APRIL,4,1.38,-0.608010334,-0.434819267,-26.32419107,2.156666667,2.710714286
1,5/11/2004,2004,MAY,5,7.12,0.671968281,,,,
